,id,dist,baseh,basemu,basemed,basestd,scaledh,scaledmu,scaledmed,scaledstd,taille,bins,e_base,e_scale
256,norm_240_1_700.0,norm,3.3466094803992847,0.9319544061144256,0.9147617121149054,0.7495691088624704,7.902216665483861,0.5514710015795586,0.5476000125071634,0.16876783996112682,240,15,0.8565915524128038,2.0226357693164556
257,norm_240_1_800.0,norm,3.313457805919565,0.9471522094892151,0.977503197081548,0.8033714421145571,7.903801775577007,0.5015551977871123,0.5076546892450747,0.16144968047057826,240,15,0.8481061152938367,2.023041490965003
258,norm_240_1_900.0,norm,3.3718942854472527,1.0067768754622235,1.0284793292099783,0.8894584523611051,7.904567511126234,0.4378672724277832,0.44201722605693766,0.17008267246001885,240,15,0.8630634011705829,2.0232374871237098
259,norm_240_1_1000.0,norm,3.500967560602666,0.9882966550836617,1.09943797025814,1.0484238415278064,7.90363077027477,0.4425971698882491,0.4626293857691192,0.1889689058939532,240,15,0.8961007417350964,2.0229977207856105
260,norm_240_2_100.0,norm,3.3794792050035514,2.0068002487766843,2.002699543480987,0.10137778680424613,7.903855646087866,0.46819454999365834,0.4612934700329634,0.17060875203797293,240,15,0.8650048221985545,2.023055279554558
261,norm_240_2_420.0,norm,3.3294944923698697,2.034356927802541,2.0472625197294576,0.42236304217271164,7.902510194486893,0.5615830737086676,0.5666564651628945,0.16603756424927138,240,15,0.8522108338821511,2.0227109004202957
262,norm_240_2_740.0,norm,3.52425149703925,1.9710408517179792,1.9603204130006462,0.7675843970308383,7.90101236057051,0.5512834524789347,0.5486036690150042,0.19187274220491066,240,15,0.9020604521152016,2.022327517809565
263,norm_240_2_1070.0,norm,3.4609975134960544,1.8774514910149638,1.8224803144585537,1.0631034488641045,7.903100355071857,0.48506515151591867,0.4755694017611485,0.18364104511183924,240,15,0.8858700874261328,2.022861956757944
264,norm_240_2_1390.0,norm,3.278676551813398,2.0074504787945737,1.9872487776841965,1.325006417057256,7.904192165546178,0.4897261376251637,0.48732245888034476,0.15765453334983057,240,15,0.839203574192414,2.023141414410418
265,norm_240_2_1710.0,norm,3.2734109106832245,2.160957830372495,2.0314260191332423,1.7572686723935647,7.903875861146137,0.4856262291384508,0.47385832645897397,0.15964701273438497,240,15,0.8378557910893775,2.0230604537609445
266,norm_240_2_2029.9999999999998,norm,3.2747595033522034,1.8336058058024052,1.817929991936219,1.8952392834986251,7.902802824188578,0.5599254126656106,0.5586267486317387,0.1570112476501242,240,15,0.8382009742052023,2.02278580134074
267,norm_240_2_2360.0,norm,3.311449664581189,1.9065230215418092,1.733458152687807,2.1227738897163797,7.9029754438659765,0.49853591131986963,0.48457254455019017,0.17127144629343635,240,15,0.8475921154033271,2.02282998473241
268,norm_240_2_2680.0,norm,3.2967919916793633,2.190441499997666,2.477752897275705,2.525709174041815,7.904126958784071,0.49954123692840474,0.5178880115209339,0.16128360149104942,240,15,0.8438403663990675,2.0231247242163843
269,norm_240_2_3000.0,norm,3.6065149823538536,2.0567918245297494,2.043986756727649,2.9154154583365526,7.901558685815651,0.5096735434973306,0.5087651122563694,0.206828618455215,240,15,0.9231164513302988,2.022467354140215
270,norm_240_3_100.0,norm,3.434174214763782,3.001782967478112,3.0107399596229487,0.09805268782607053,7.903325727538471,0.5030193045960749,0.5191309373067838,0.17637493334881502,240,15,0.8790044488637366,2.0229196426493448
