,id,dist,baseh,basemu,basemed,basestd,scaledh,scaledmu,scaledmed,scaledstd,taille
4,uni15_0_500.0,uni,3.8901618195378718,0.06966582382219849,0.09259468732337295,0.3020615991534064,3.251305274422545,0.5664763831733456,0.5916220287288374,0.3312651718584969,15
5,uni15_0_600.0,uni,3.8636385122415695,0.0011471684614259884,-0.047243644604067714,0.27231793118401365,3.3656560089037506,0.48517274609772276,0.4314347557832538,0.3024090198405403,15
6,uni15_0_700.0,uni,3.8750912225540053,0.04618656449056391,0.13979621256082497,0.4079133627288372,3.66609464818488,0.5479788030657778,0.6223998857341813,0.3242972782720404,15
7,uni15_0_800.0,uni,3.885395981174783,-0.01859988239324773,0.06630741135235141,0.48125160648057247,3.791503309069983,0.5148703407146411,0.5716468351986662,0.32180720849071476,15
8,uni15_0_900.0,uni,3.8997776331041645,0.037726374750780375,0.058760648898612544,0.5670434884519934,3.8932570545354044,0.5175812652340765,0.5299935184177353,0.33461042179754097,15
9,uni15_0_1000.0,uni,3.884699538744168,-0.24363609608589007,-0.4369323643030125,0.6178254491587489,3.8686106134351506,0.44194574546175747,0.32649379709212295,0.36901463497267706,15
10,uni15_1_100.0,uni,3.8856355180938986,1.0053417886432172,1.0049439673537264,0.06410871719328619,1.7225233572906689,0.5256015256631842,0.5235759132484503,0.32642650574466436,15
11,uni15_1_200.0,uni,3.8781925006547633,0.9655504837200267,0.9443121975140885,0.12118661562542618,1.9854734943607482,0.43974808006381844,0.3798754017216672,0.34163619354024793,15
12,uni15_1_300.0,uni,3.8068617341443667,0.9425695863749063,0.9127066108273636,0.14401304852757987,1.5711977056258677,0.3663390096240994,0.3050312542551217,0.2956542871963102,15
13,uni15_1_400.0,uni,3.7954781169812253,1.0606041183039865,1.120102662902906,0.19945268082212084,3.286145055490251,0.581148156547154,0.6652226419768535,0.2818368351819889,15
14,uni15_1_500.0,uni,3.8911975153377973,1.0678239326975736,1.0960491201251505,0.3211454135635661,3.440140472605704,0.5565776107026293,0.5863194611703286,0.33840196431301084,15
15,uni15_1_600.0,uni,3.883589601774,0.9931447510901817,1.0158920798124869,0.2802681142544587,3.3937428273679715,0.5391569966769695,0.56539146222964,0.32323286301792536,15
16,uni15_1_700.0,uni,3.882815885183203,1.0167504038299875,1.059684320426824,0.4086559977132816,3.7364979443119553,0.5542319137941952,0.5898874386058226,0.3393784033893579,15
17,uni15_1_800.0,uni,3.8747139902801617,1.1066666382707777,1.1572179641149294,0.4544087039255454,3.778568703600139,0.5512063400076157,0.5850836419754845,0.30452496789447786,15
18,uni15_1_900.0,uni,3.8763040823016763,0.9290104009885581,0.6922891789961717,0.6131069383800867,3.884348168609252,0.4511153053414796,0.30897777796618925,0.3681355794994283,15
19,uni15_1_1000.0,uni,3.7943071539076207,0.6489001711586564,0.3224000184336939,0.5751242008738638,3.882659955769859,0.30777930278439225,0.1266750914797726,0.31901184098128427,15
20,uni15_2_100.0,uni,3.8282509355146503,2.0253985135723798,2.0435272870826697,0.060590214003637344,1.284735578657347e-17,0.6253740532978929,0.7166048682117658,0.30491277284811136,15
21,uni15_2_420.0,uni,3.84904805721103,1.9443509851223837,1.8937688023009018,0.21718238935186251,0.052653756021860884,0.40162119703711807,0.3300892424556712,0.3071334597369287,15
22,uni15_2_740.0,uni,3.893983656401786,1.9768496910682,2.036184596923036,0.48709699419333147,2.716396298343247,0.5038942988537987,0.5461123252427275,0.34657969804709654,15
23,uni15_2_1070.0,uni,3.8738425059657318,2.0754882737687574,2.098641981642183,0.6242447455968422,3.3618615367847533,0.5725907474793375,0.5848453696561797,0.33039561287496677,15
24,uni15_2_1390.0,uni,3.8398408073028554,1.8170442093148695,1.7206911732936543,0.7314590168255066,3.6318637754556384,0.44751386651416725,0.4114035189108579,0.27412980893854055,15
25,uni15_2_1710.0,uni,3.8863325934847026,2.2757715389495927,2.4307525118567828,0.8889940244783227,3.5868778257683567,0.4952187246682257,0.5510655128545644,0.32034552405147865,15
26,uni15_2_2029.9999999999998,uni,3.8697190282643747,2.317371993597348,2.0040067670819512,0.9571014940139997,3.5983936947271036,0.4548640135676945,0.35066895729903047,0.31823966281310195,15
27,uni15_2_2360.0,uni,3.9000449479397954,2.166452833665531,2.271189933289389,1.4264083832673766,3.8964907067364147,0.4837506638575775,0.5088937194202843,0.3424217909833431,15
28,uni15_2_2680.0,uni,3.8648937080610857,2.754151933551294,2.783817792546487,1.6246443510565667,3.8911869523133635,0.6491982934226431,0.6552714845327486,0.33259699749530075,15
